Company Name,Location,"Employees
Affected","Layoff
Date"
"ALBERTSON'S, LLC",MONROVIA,67,2/20/14
"ALBERTSON'S, LLC",MOORPARK,66,2/20/14
"ALBERTSON'S, LLC",ONTARIO,74,2/20/14
"ALBERTSON'S, LLC",SAN DIEGO,92,2/20/14
"ALBERTSON'S, LLC",WOODLAND HILLS,71,2/20/14
ALLIED BEVERAGES INC,CAMARILLO,139,1/17/14
ALLIED BEVERAGES INC,SYLMAR,139,1/17/14
"ALLIED BEVERAGES, INC",SYLMAR,144,1/17/14
"ALTA BATES SUMMIT MED.CTR.-ALTA 
BATES CAMPUS",BERKELEY,110,3/2/14
"ALTA BATES SUMMIT MEDICAL 
CENTER-HERRICK CAMPUS",BERKELEY,29,3/2/14
"ALTA BATES SUMMIT MEDICAL 
CENTER-SUMMIT CAMPUS",OAKLAND,88,3/2/14
"ALTA BATES SUMMIT MEDICAL 
CENTER-SUMMIT CAMPUS",OAKLAND,1,4/7/14
"ALTA BATES SUMMIT MEIDCAL 
CENTER - SUMMIT CAMPUS",OAKLAND,11,2/16/14
ALTA RESOURCES,BREA,52,1/15/14
AMGEN (THOUSAND OAKS),THOUSAND OAKS,252,4/30/14
AMMEX ENTERTAINMENT INC.,LOS ANGELES,169,2/6/14
APPLIED MATERIALS INC,SANTA CLARA,2,1/19/14
APPLIED MATERIALS INC,SUNNYVALE,2,1/19/14
"APPLIED MATERIALS, INC. - GARRETT 
DRIVE",SANTA CLARA,1,5/18/14
"APPLIED MATERIALS, INC. -OAKMEAD 
VILLAGE DRIVE",SANTA CLARA,2,5/18/14
"APPLIED MATERIALS, INC.-SCOTT 
BOULEVARD",SANTA CLARA,4,5/18/14
ARVATO,VALENCIA,3,1/3/14
ARVATO,VALENCIA,49,2/7/14
ARVATO,VALENCIA,30,3/7/14
ARVATO,VALENCIA,28,5/2/14
ARVATO,VALENCIA,30,6/14/14
ARVATO,VALENCIA,10,7/8/14
"ASPLUNDH CONSTRUCTION, CORP.",NORWALK,83,2/1/14
"ASTEC AMERICA, LLC",CARLSBAD,40,6/28/14
ATLANTIC EXPRESS OF CALIFORNIA,LONG BEACH,149,1/31/14
"ATLANTIC EXPRESS OF L.A., INC",LOS ANGELES,307,1/21/14
"ATOS IT SOLUTIONS AND SERVICES, 
INC.",IRVINE,1,2/28/14
"ATOS IT SOLUTIONS AND SERVICES, 
INC.",IRVINE,1,2/28/14
"ATOS IT SOLUTIONS AND SERVICES, 
INC.",WALNUT CREEK,1,2/28/14
"AVIAT U.S., INC",SANTA CLARA,62,3/28/14
AVNET INTEGRATED,SIMI VALLEY,3,2/28/14
BAE SYSTEMS,SAN FRANCISCO,200,1/16/14
BAE SYSTEMS,SAN FRANCISCO,196,3/16/14
BANK OF AMERICA,SIMI VALLEY,30,5/11/14
BANK OF AMERICA - LOS ANGELES,LOS ANGELES,57,4/13/14
BANK OF AMERICA-BREA,BREA,24,1/19/14
BANK OF AMERICA-CONCORD,CONCORD,71,4/13/14
"BANK OF AMERICA-LEGACY ASSET 
SERVICING UNIT",SIMI VALLEY,117,1/19/14
BANK OF AMERICA-PASADENA,PASADENA,153,4/13/14
BANK OF AMERICA-SIMI VALLEY,SIMI VALLEY,44,1/19/14
BANK OF AMERICA-SIMI VALLEY,SIMI VALLEY,77,4/13/14
BANK OF AMERICA-WEST HILLS,WEST HILLS,49,1/19/14
"BANK OF AMERICA-WESTLAKE 
VILLAGE",WESTLAKE VILLAGE,13,1/19/14
BAXTER HEALTHCARE CORPORATION,IRVINE,74,1/24/14
"BAY AREA NEWS GROUP-SHARED 
SERVICES CENTER",SAN RAMON,55,5/12/14
BAYER HEALTH CARE,SUNNYVALE,6,1/21/14
BAYER HEALTH CARE,SUNNYVALE,34,2/4/14
BAYER HEALTH CARE,SUNNYVALE,8,5/27/14
"BAYER HEALTHCARE, LLC",SUNNYVALE,10,4/30/14
"BBB INDUSTRIES, LLC",STOCKTON,241,5/17/14
BELL GARDENS MCDONALD'S,BELL GARDENS,69,4/21/14
BELLFLOWER MEDICAL CENTER,BELLFLOWER,18,2/15/14
"BEST OPPORTUNITIES, INC.",BARSTOW,17,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,38,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,21,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,22,3/1/14
BIMBO BAKERIES USA,VERNON,160,3/28/14
"BIMBO BAKERIES USA, INC.",OAKLAND,160,3/3/14
"BLUE CHIP RECYCLING, LLC",PICO RIVERA,90,2/21/14
"BLUE CHIP TPM, LLC",TRACY,72,4/30/14
"BLUE CHIP TPM, LLC",WEST SACRAMENTO,27,1/31/14
BOEING,EL SEGUNDO,27,1/1/14
BOEING,EL SEGUNDO,4,2/21/14
BOEING,HUNTINGTON BEACH,51,1/1/14
BOEING,HUNTINGTON BEACH,18,2/21/14
BOEING,LONG BEACH,27,1/1/14
BOEING,LONG BEACH,2,2/21/14
BOEING COMPANY,EL SEGUNDO,3,1/24/14
BOEING COMPANY,EL SEGUNDO,7,4/4/14
BOEING COMPANY,HUNTINGTON BEACH,25,1/24/14
BOEING COMPANY,HUNTINGTON BEACH,14,3/21/14
BOEING COMPANY,HUNTINGTON BEACH,22,4/4/14
BOEING COMPANY,HUNTINGTON BEACH,34,4/4/14
BOEING COMPANY,LONG BEACH,4,1/24/14
BOEING COMPANY,LONG BEACH,3,2/7/14
BOEING COMPANY,LONG BEACH,2,3/21/14
BOEING COMPANY,LONG BEACH,1,4/4/14
BOEING COMPANY,LONG BEACH,44,4/4/14
BOEING COMPANY-EL SEGUNDO,EL SEGUNDO,21,5/26/14
BOEING COMPANY-EL SEGUNDO,EL SEGUNDO,13,6/20/14
"BOEING COMPANY-HUNTINGTON 
BEACH",HUNTINGTON BEACH,52,5/26/14
"BOEING COMPANY-HUNTINGTON 
BEACH",HUNTINGTON BEACH,74,6/20/14
BOEING COMPANY-LONG BEACH,LONG BEACH,4,5/26/14
BOEING COMPANY-LONG BEACH,LONG BEACH,16,6/20/14
"BRIDGEPOINT EDUCATION, INC.",SAN DIEGO,15,3/31/14
"BRIDGEPOINT EDUCATION, INC.",SAN DIEGO,33,3/31/14
"BRIDGEPOINTEDUCATION, INC.",SAN DIEGO,43,3/31/14
"BROOKSHIRE TOOL & MFG. COMPANY 
INC",SOUTH GATE,90,1/10/14
"BUERGE FORD & BUERGE CHRYSLER 
JEEP DODGE RAM",LOS ANGELES,125,3/8/14
"CADENCE DESIGN SYSTEMS, INC.",SAN JOSE,60,1/4/14
"CALIFORNIA AUTO MART GROUP, INC",LOS ANGELES,108,6/8/14
CALIFORNIA PIZZA KITCHEN,IRVINE,68,6/15/14
"CARANYTHING.COM, INC.",ROSEVILLE,99,4/14/14
CAREFUSION,ONTARIO,131,5/2/14
CENTRAL PARKING CORPORATION,NEWPORT BEACH,82,5/10/14
"CERTIFIED NETWORK M, INC.",BELL,211,3/31/14
CHROMALLOY,GARDENA,79,9/30/14
"CLASSIC CARTAGE TRUCKING 
CORPORATION",SYLMAR,13,1/17/14
"COMMUNITY DEVELOMENT 
INSTITUTE-HEAD START",ENCINITAS,35,6/6/14
"COMMUNITY DEVELOPMENT 
INSTITUTE-HEAD START",SOLANO BEACH,13,6/6/14
"CONTINENTAL MARITIME OF SAN 
DIEGO",SAN DIEGO,152,4/18/14
"COOPER B-LINE, INC.",CORONA,51,4/4/14
CORELOGIC TAX SERVICES,SIMI VALLEY,81,3/31/14
COVIDIEN DISTRIBUTION CENTER,ONTARIO,9,1/10/14
COVIDIEN DISTRIBUTION CENTER,ONTARIO,13,3/28/14
COVIDIEN DISTRIBUTION CENTER,ONTARIO,11,5/30/14
COVIDIEN DISTRIBUTION CENTER,ONTARIO,30,6/27/14
COVIDIEN DISTRIBUTION CENTER,ONTARIO,5,7/25/14
"COX COMMUNICATIONS-RANCHO 
SANTA MARGARITA","RANCHO SANTA 
MARGARI",154,5/4/14
COX COMMUNICATIONS-SAN DIEGO,SAN DIEGO,505,8/31/14
CUDAHY MCDONALD'S,CUDAHY,49,4/21/14
DELUXE LABORATORIES,LOS ANGELES,237,5/9/14
DENDREON CORPORATION,SEAL BEACH,62,1/16/14
"DEPENDABLE AUTO SHIPPERS, INC",GARDENA,10,5/1/14
"DIGNIFIED TRANSITION SOLUTIONS-
WESTLAKE VILLAGE",WESTLAKE VILLAGE,82,5/16/14
DIRECTV,HESPERIA,80,5/19/14
DISNEY INTERACTIVE-GLENDALE,GLENDALE,133,3/6/14
DISNEY INTERACTIVE-PALO ALTO,PALO ALTO,143,3/6/14
EDISON MISSION ENERGY,SANTA ANA,92,3/31/14
EL CAMINO HOSPITAL,MOUNTAIN VIEW,48,4/1/14
EL CAMINO HOSPITAL,SAN JOSE,35,1/1/14
"ELITE LINE SERVICES, LLC",SAN FRANCISCO,60,5/31/14
"EMANUAL MED CTR-BRANDEL MANOR 
& CYPRESS OF EMANUAL",TURLOCK,178,1/27/14
EMANUAL MEDICAL CENTER,TURLOCK,1166,1/27/14
"EMANUEL MEDICAL CENTER, 
JESSICA'S HOUSE",TURLOCK,6,1/27/14
"EMANUEL MEDICAL CENTER, OFFICE 
OF DEVELOPMENT",TURLOCK,4,1/27/14
EXIDE TECHNOLOGIES,VERNON,124,6/20/14
FIT ATHLETIC CLUB,SAN DIEGO,32,6/1/14
"FOLSOM CHRYSLER, JEEP, DODGE",FOLSOM,95,5/4/14
FRESNO LOGISTICS LLC,FRESNO,76,5/31/14
"FULL STEAM STAFFING-BBB 
INDUSTRIES",STOCKTON,203,5/17/14
"FUTURE FOAM, INC.",POMONA,40,3/10/14
"G2 SECURE STAFF, LLC",LOS ANGELES,111,5/14/14
GAF,FRESNO,31,1/20/14
GAF,FRESNO,6,2/14/14
GAF,FRESNO,2,2/21/14
GAF,FRESNO,11,3/21/14
GAF,FRESNO,3,4/4/14
"GENPACT MORTAGE SERVICES, INC.",IRVINE,81,2/17/14
GILLY HICKS,ARCADIA,102,1/5/14
GILLY HICKS,ROSEVILLE,83,1/5/14
GILLY HICKS,VALENCIA,66,1/19/14
HILTON SAN BERNARDINO,SAN BERNARDINO,112,6/4/14
HOG ISLAND OYSTER BAR,SAN FRANCISCO,32,1/15/14
HOLLYWOOD PARK CASINO,INGLEWOOD,343,3/23/14
HSBC,POMONA,39,6/15/14
"HYUNDAI CAPITAL AMERICA (IRVINE 
OPERATIONS CTR)",IRVINE,72,3/31/14
"HYUNDAI CAPITAL AMERICA (IRVINE 
OPERATIONS CTR)",IRVINE,13,6/30/14
"IFCO SYSTEMS US, LLC-RANCHO 
CUCAMONGA FACILITY","RANCHO 
CUCAMONGA",159,4/21/14
INTERNATIONAL WINDOW COMPANY,HAYWARD,84,5/8/14
INTUIT INC,MOUNTAIN VIEW,7,1/3/14
INTUIT INC,SAN DIEGO,1,1/3/14
INTUIT INC,WESTLAKE VILLAGE,1,1/3/14
"INVESTOR'S BUSINESS DAILY, INC.",LOS ANGELES,2,2/14/14
ITT CANNON LLC,SANTA ANA,22,5/16/14
JOE'S WESTLAKE RESTAURANT INC,DALY CITY,105,1/26/14
JP MORGAN CHASE,CHATSWORTH,179,4/21/14
JPMORGAN CHASE,IRVINE,168,3/10/14
KARL STRAUSS BREWING COMPANY,SAN DIEGO,67,2/3/14
"KIDS LINE, LLC",SOUTH GATE,50,1/1/14
KINGSTON TECHNOLOGY,FOUNTAIN VALLEY,5,1/17/14
"KOHL'S DEPARTMENT STORES, INC.",MILLBRAE,73,4/5/14
"L.A. METROPOLITAN MEDICAL 
CENTER",LOS ANGELES,18,3/28/14
"L.A. METROPOLITAN MEDICAL 
CENTER-HAWTHORNE CAMPUS",HAWTHORNE,4,3/28/14
"LA MIRADA RESTAURANT GROUP - 
RED ROBIN",LA MIRADA,72,1/5/14
LABCORP,IRVINE,1,1/31/14
"LABCORP/ESOTERIX GENETICS 
LABORATORIES, LLC",MONROVIA,63,7/11/14
LEVI STRAUSS & CO,SAN FRANCISCO,196,5/26/14
LEXISNEXIS,SACRAMENTO,65,3/31/14
LIFESCAN INC,MILPITAS,49,1/17/14
"LIFESCAN, INC.",MILPITAS,9,3/28/14
"LIFESCAN, INC.",MILPITAS,4,4/11/14
"LIFESCAN, INC.",MILPITAS,14,6/20/14
LOCKHEED MARTIN,SUNNYVALE,105,3/31/14
LOCKHEED MARTIN CORPORATION,PALMDALE,11,6/5/14
LOCKHEED MARTIN CORPORATION,PALMDALE,28,6/10/14
LOCKHEED MARTIN CORPORATION,PALMDALE,9,6/27/14
LOCKHEED MARTIN CORPORATION,PALMDALE,25,7/11/14
LOCKHEED MARTIN CORPORATION,SUNNYVALE,86,5/31/14
"LOEHMANN'S, INC.",COSTA MESA,68,2/28/14
"LOEHMANN'S, INC.",LOS ANGELES,92,2/28/14
LOS ALAMITOS MCDONALD'S,LOS ALAMITOS,90,4/21/14
MACYS DISTRIBUTION CENTER,CITY OF INDUSTRY,63,3/13/14
"MARC ECKO ENTERPRISE DIRECT 
LLC-MODESTO",MODESTO,12,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC - FOLSOM",FOLSOM,13,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC-CAMARILLO",CAMARILLO,13,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC-FRESNO",FRESNO,8,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC-GILROY",GILROY,23,4/18/14
"MARC ECKO ENTERPRISES DIRECT 
LLC-MILPITAS",MILPITAS,13,4/18/14
