Notice Date,Effective,Received,Company,City,No. of Employees,Layoff/Closure
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 1  8  / 2  0  15,,0  7  / 2  1  / 2  0  15,,Boeing Com pany,,Huntington Beac h,,65,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 1  8  / 2  0  15,,0  7  / 2  1  / 2  0  15,,Boeing Com pany,,Long Beac h,,113,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 1  8  / 2  0  15,,0  7  / 2  1  / 2  0  15,,Boeing Com pany,,El Segundo,,66,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 2  5  / 2  0  15,,0  7  / 2  1  / 2  0  15,,Maxim  Integrated Produc t,,San J os e,,11,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 2  6  / 2  0  15,,0  7  / 2  1  / 2  0  15,,"DS Servic es  of  Am eric a, Inc .",,Los  Angeles,,120,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/17/2015,,0  9  / 2  6  / 2  0  15,,0  7  / 2  1  / 2  0  15,,"DS Servic es  of  Am eric a, Inc .",,Pas adena,,200,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/20/2015,,0  9  / 1  8  / 2  0  15,,0  7  / 2  1  / 2  0  15,,"Minno, Inc .",,San Franc is c o,,255,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/20/2015,,0  9  / 1  8  / 2  0  15,,0  7  / 2  1  / 2  0  15,,"Saf eway, Inc .",,Pleas anton,,14,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/15/2015,,0  9  / 1  5  / 2  0  15,,0  7  / 2  2  / 2  0  15,,"O ak ley, Inc .",,Foothill Ranc h,,137,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/15/2015,,0  9  / 1  5  / 2  0  15,,0  7  / 2  2  / 2  0  15,,"O ak ley, Inc .",,Lak e Fores t,,22,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/15/2015,,0  9  / 1  5  / 2  0  15,,0  7  / 2  2  / 2  0  15,,"O ak ley, Inc .",,Enc initas,,8,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/20/2015,,1  2  / 3  1  / 2  0  17,,0  7  / 2  2  / 2  0  15,,T oyota Motor North Am eric a,,G ardena,,100,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/20/2015,,1  2  / 3  1  / 2  0  17,,0  7  / 2  2  / 2  0  15,,T oyota Motor North Am eric a,,T orranc e,,3000,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/21/2015,,0  7  / 2  2  / 2  0  15,,0  7  / 2  2  / 2  0  15,,"Cis c o Sys tem s , Inc .",,San J os e,,192,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/20/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  3  / 2  0  15,,"IAP W orldwide Servic es , Inc .",,Mountain View,,67,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/21/2015,,0  9  / 1  5  / 2  0  15,,0  7  / 2  3  / 2  0  15,,Pres s e LLC dba Caf e de la Pres s e and,,San Franc is c o,,85,,Clos ure T em porary,,
,,,,,,,,,,,,,,,,
,,07/10/2015,,1  0  / 0  4  / 2  0  15,,0  7  / 2  4  / 2  0  15,,Sears  Holdings  Corporation,,Cupertino,,81,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/10/2015,,1  0  / 0  4  / 2  0  15,,0  7  / 2  4  / 2  0  15,,Sears  Holdings  Corporation,,Cupertino,,17,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/14/2015,,0  9  / 1  4  / 2  0  15,,0  7  / 2  4  / 2  0  15,,"As s oc iate Managem ent Res ourc es , Inc .",,San Diego,,533,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/10/2015,,1  0  / 1  1  / 2  0  15,,0  7  / 2  7  / 2  0  15,,Km art,,Atwater,,74,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,0  9  / 2  5  / 2  0  15,,0  7  / 2  7  / 2  0  15,,"Saf eway, Inc .",,Pleas anton,,37,,Layof f  Unk nown at this  tim e,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc . - Chateau at",,Carm ic hael,,57,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc . - Chateau",,Sac ram ento,,42,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc . - River' s",,Sac ram ento,,34,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc . - T he",,Sac ram ento,,89,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,1  0  / 1  5  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc .",,Sac ram ento,,7,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/27/2015,,1  2  / 3  1  / 2  0  15,,0  7  / 2  9  / 2  0  15,,"Hank  Fis her Properties , Inc . - Leis ure",,Sac ram ento,,13,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/29/2015,,0  9  / 3  0  / 2  0  15,,0  7  / 2  9  / 2  0  15,,SPS Dis tribution Center,,Pas o Robles,,8,,Clos ure Perm anent,,
,,,,,,,,,,,,,,,,
,,07/23/2015,,0  7  / 3  1  / 2  0  15,,0  7  / 3  0  / 2  0  15,,"T urf  T erm inators , LLC",,Los  Angeles,,94,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
,,07/29/2015,,0  7  / 2  8  / 2  0  15,,0  7  / 3  0  / 2  0  15,,Relativity Media,,Beverly Hills,,33,,Layof f  Perm anent,,
,,,,,,,,,,,,,,,,
