Company,Location,Num Employees,Date of Effect,Date of Notification
Cascade Valley Hospital & Clinics ,Arlington,418,"Tuesday, May 31, 2016",3/30/2016
Xerox Commercial Solutioins ,Kent,98,"Tuesday, May 31, 2016",3/31/2016
Sterling Life Insurance Company ,Bellingham,55,"Wednesday, May 11, 2016",3/11/2016
Haggen Food & Pharmacy ,Puyallup,78,"Tuesday, May 10, 2016",3/11/2016
Haggen Food & Pharmacy ,Port Angeles,67,"Tuesday, May 10, 2016",3/11/2016
Haggen Food & Pharmacy ,Federal Way,71,"Monday, May 09, 2016",3/9/2016
Haggen Food & Pharmacy ,Burien,54,"Monday, May 09, 2016",3/9/2016
Albertson's LLC ,Bellingham,65,"Saturday, May 07, 2016",3/4/2016
Xerox Commercial Solutioins ,Redmond,325,"Friday, May 06, 2016",3/7/2016
Locating Inc. ,Lakewood,60,"Sunday, May 01, 2016",3/1/2016
Maslow Media Group ,Seattle,8,"Saturday, April 30, 2016",2/18/2016
University of Phoenix ,Seattle,4,"Friday, April 29, 2016",2/29/2016
"Apollo Education Group, Inc. (AEG) ",Seattle,72,"Friday, April 29, 2016",2/29/2016
Wells Fargo Home Mortgage Servicing ,Vancouver,59,"Sunday, April 03, 2016",2/3/2016
Wells Fargo Home Mortgage Servicing ,Vancouver,1,"Sunday, April 03, 2016",3/16/2016
Mycom North America ,Redmond,2,"Thursday, March 31, 2016",3/15/2016
Cardinal Health ,Auburn,59,"Thursday, March 31, 2016",1/25/2016
Macy's ,Spokane,94,"Monday, March 14, 2016",1/6/2016
Haggen Food & Pharmacy ,Puyallup,87,"Tuesday, March 08, 2016",1/8/2016
Concentrix ,Bremerton,520,"Friday, March 04, 2016",1/28/2016
Hoquiam Plywood Products ,Hoquiam,90,"Monday, February 15, 2016",12/17/2015
Omak Wood Products ,Omak,184,"Friday, February 12, 2016",12/14/2015
Management & Training Corporation ,Sedro Woolley,90,"Sunday, January 31, 2016",11/30/2015
Alcoa Intalco Works ,Ferndale,465,"Monday, January 18, 2016",11/18/2015
Alcoa Inc. ,Malaga,415,"Tuesday, January 05, 2016",11/6/2015
Aramark Sports & Entertainment ,Seattle,78,"Thursday, December 31, 2015",12/9/2015
CH2M ,Bellingham,128,"Monday, December 07, 2015",10/7/2015
Graphic Packaging ,Renton,108,"Thursday, December 03, 2015",10/2/2015
Haggen Food & Pharmacy ,Statewide,1073,"Tuesday, November 24, 2015",9/25/2015
JACO Environmental ,Bothell/Everett,154,"Monday, November 23, 2015",11/23/2015
CH2M ,Bellingham,128,"Friday, November 20, 2015",9/21/2015
Red Lion Hotel ,Vancouver,82,"Saturday, October 31, 2015",8/26/2015
Boeing ,Puget Sound,39,"Friday, October 23, 2015",8/21/2015
